Group_ID,Group_Name,Instability,Responsibility,Accumulative_Instability,Accumulative_Responsibility,Layer,Dependencies,Children
70,Group 70,3,0,15,0,,"packages/base/packages/Typography/, packages/base/packages/Container/, packages/base/packages/Button/, packages/base/packages/PaginationButton/","packages/base/packages/Pagination/, packages/base/packages/PaginationButton/"
71,Group 71,2,0,6,0,,"packages/base/packages/QuoteMark/, packages/base/packages/Container/, packages/base/packages/Typography/","packages/base/packages/Quote/, packages/base/packages/QuoteMark/"
73,Group 73,2,0,10,0,,"packages/base/packages/RatingStars/, packages/base/packages/Icon/, packages/base/packages/RatingIcon/, packages/base/packages/RatingThumbs/, packages/base/packages/Container/","packages/base/packages/Rating/, packages/base/packages/RatingStars/, packages/base/packages/RatingThumbs/, packages/base/packages/RatingIcon/"
74,Group 74,5,0,16,0,,"packages/base/packages/ButtonCircular/, packages/base/packages/Typography/, packages/base/packages/Icon/, packages/base/packages/utils/, packages/base/packages/Container/",packages/base/packages/Section/
75,Group 75,3,0,15,0,,"packages/base/packages/utils/, packages/base/packages/Container/, packages/base/packages/Button/, packages/base/packages/TreeView/","packages/base/packages/StaticTreeView/, packages/base/packages/TreeView/"
76,Group 76,3,0,26,0,,"packages/base/packages/StepIcon/, packages/base/packages/Stepper/, packages/base/packages/StepConnector/, packages/base/packages/Step/, packages/base/packages/Icon/, packages/base/packages/TypographyOverflow/, packages/base/packages/StepperVertical/, packages/base/packages/utils/, packages/base/packages/StepLabel/","packages/base/packages/Step/, packages/base/packages/StepConnector/, packages/base/packages/StepIcon/, packages/base/packages/StepLabel/, packages/base/packages/Stepper/, packages/base/packages/StepperCompound/, packages/base/packages/StepperVertical/"
34,Group 34,6,0,46,0,,"packages/base/packages/TabScrollButton/, packages/base/packages/Tabs/, packages/base/packages/UserBadge/, packages/base/packages/Tab/, packages/base/packages/Typography/, packages/base/packages/TabDescription/, packages/base/packages/Icon/, packages/base/packages/TypographyOverflow/, packages/base/packages/TabLabel/, packages/base/packages/utils/, packages/base/packages/Container/","packages/base/packages/TabScrollButton/, packages/base/packages/Tabs/, packages/base/packages/Tab/, packages/base/packages/TabDescription/, packages/base/packages/TabsCompound/, packages/base/packages/TabLabel/"
72,Group 72,2,0,20,0,,"packages/base/packages/Typography/, packages/base/packages/TableSectionHead/, packages/base/packages/TableExpandableRow/, packages/base/packages/TableCell/, packages/base/packages/Table/, packages/base/packages/TableHead/, packages/base/packages/TableBody/, packages/base/packages/utils/, packages/base/packages/TableRow/, packages/base/packages/TableFooter/","packages/base/packages/Table/, packages/base/packages/TableBody/, packages/base/packages/TableCell/, packages/base/packages/TableCompound/, packages/base/packages/TableExpandableRow/, packages/base/packages/TableFooter/, packages/base/packages/TableHead/, packages/base/packages/TableRow/, packages/base/packages/TableSectionHead/"
77,Group 77,3,3,27,7,,"packages/base/packages/TagConnection/, packages/base/packages/Typography/, packages/base/packages/TagGroup/, packages/base/packages/Icon/, packages/base/packages/Chip/, packages/base/packages/Indicator/, packages/base/packages/Tag/, packages/base/packages/utils/, packages/base/packages/TagCheckable/, packages/base/packages/TagRectangular/","packages/base/packages/Tag/, packages/base/packages/TagCheckable/, packages/base/packages/TagCompound/, packages/base/packages/TagConnection/, packages/base/packages/TagGroup/, packages/base/packages/TagRectangular/, packages/base/packages/Chip/, packages/base/packages/Indicator/"
78,Group 78,7,0,67,0,,"packages/base/packages/utils/, packages/base/packages/FieldsLayout/, packages/base/packages/OutlinedInput/, packages/base/packages/TagSelector/, packages/base/packages/Input/, packages/base/packages/Autocomplete/, packages/base/packages/TagSelectorLabel/, packages/base/packages/Tag/, packages/base/packages/TagSelectorInput/, packages/base/packages/InputBase/","packages/base/packages/TagSelector/, packages/base/packages/TagSelectorLabel/, packages/base/packages/TagSelectorCompound/, packages/base/packages/TagSelectorInput/"
56,Group 56,4,0,19,0,,"packages/base/packages/utils/, packages/base/packages/OutlinedInput/, packages/base/packages/Icon/, packages/base/packages/Input/",packages/base/packages/TimePicker/
25,Group 25,2,0,6,0,,"packages/base/packages/TimelineRow/, packages/base/packages/Container/, packages/base/packages/Typography/","packages/base/packages/Timeline/, packages/base/packages/TimelineRow/"
63,Group 63,0,0,0,0,,,packages/base/packages/test-utils/
